timestamp,dMax,dMin,dRange
23151,1.0,-1.4318708e-25,1.0
23341,1.0,-1.3676692e-24,1.0
23530,1.0,-1.0527526e-25,1.0
23719,1.0,-5.1563804e-26,1.0
23907,1.0,-1.6313379e-25,1.0
24095,1.0,-2.3825002e-24,1.0
24282,1.0,-8.072545e-25,1.0
24466,1.0,-1.2714035e-25,1.0
24647,1.0,-1.7519764e-25,1.0
24826,1.0,-1.9133805e-25,1.0
25004,1.0,-1.8206388e-25,1.0
25176,1.0,-1.7712556e-25,1.0
25342,1.0,-1.1560205e-24,1.0
25505,1.0,-2.0648289e-25,1.0
25659,1.0,-2.5920342e-25,1.0
25809,1.0,-2.0102335e-25,1.0
25958,1.0,-2.0114294e-25,1.0
26103,1.0,-1.9655428e-25,1.0
26248,1.0,-2.0524375e-25,1.0
26393,1.0,-2.0612052e-25,1.0
26538,1.0,-2.038119e-25,1.0
26683,1.0,-2.0384314e-25,1.0
26829,1.0,-2.0197998e-25,1.0
26974,1.0,-3.8159283e-25,1.0
27119,1.0,-3.0182656e-22,1.0
27262,1.0,-2.5758475e-21,1.0
27405,1.0,-1.0247987e-20,1.0
27547,1.0,-3.567986e-20,1.0
27689,1.0,-9.922098e-25,1.0
27830,1.0,-1.4374693e-24,1.0
27970,1.0,-2.2037275e-24,1.0
28108,1.0,-3.4135005e-24,1.0
28245,1.0,-2.9031757e-23,1.0
28381,1.0,-1.2325938e-22,1.0
28516,1.0,-3.5776652e-22,1.0
28649,1.0,-9.229126e-22,1.0
28783,1.0,-2.1558272e-21,1.0
28915,1.0,-4.506619e-21,1.0
29047,1.0,-8.550921e-21,1.0
29178,1.0,-2.761485e-25,1.0
29308,1.0,-9.9740035e-26,1.0
29438,1.0,-3.69326e-26,1.0
29566,1.0,-3.5074343e-25,1.0
29693,1.0,-7.240342e-23,1.0
29818,1.0,-6.973615e-22,1.0
29945,1.0,-7.110192e-21,1.0
30068,1.0,-2.5629454e-21,1.0
30192,1.0,-1.934404e-25,1.0
30314,1.0,-4.0834432e-22,1.0
30435,1.0,-3.492628e-21,1.0
30557,1.0,-1.5440043e-20,1.0
30679,1.0,-3.5920476e-20,1.0
30798,1.0,-1.7587694e-20,1.0
30919,1.0,-6.0257904e-20,1.0
31037,1.0,-4.4145233e-19,1.0
31153,1.0,-1.7929589e-25,1.0
31270,1.0,-4.66573e-25,1.0
31387,1.0,-3.380878e-25,1.0
31503,1.0,-4.518377e-25,1.0
31620,1.0,-6.1846596e-25,1.0
31737,1.0,-3.1579847e-25,1.0
31854,1.0,-5.2262577e-25,1.0
31971,1.0,-2.2047156e-24,1.0
32088,1.0,-8.768556e-26,1.0
32204,1.0,-1.7184625e-26,1.0
32319,1.0,-8.24109e-26,1.0
32432,1.0,-8.521071e-26,1.0
32547,1.0,-2.0631974e-26,1.0
32662,1.0,-3.2574686e-26,1.0
32778,1.0,-1.2736512e-25,1.0
32895,1.0,-6.358604e-25,1.0
33012,1.0,-2.0610524e-24,1.0
33130,1.0,-2.985107e-25,1.0
33248,1.0,-1.9988524e-25,1.0
33366,1.0,-7.532164e-26,1.0
33484,1.0,-9.2550074e-26,1.0
33602,1.0,-7.6631236e-26,1.0
33719,1.0,-3.6169906e-25,1.0
33836,1.0,-7.838898e-26,1.0
33953,1.0,-9.687053e-26,1.0
34070,1.0,-3.4258245e-26,1.0
34187,1.0,-7.5153946e-26,1.0
34304,1.0,-4.001884e-26,1.0
34421,1.0,-6.1880695e-25,1.0
34537,1.0,-1.2006909e-25,1.0
34654,1.0,-3.8978496e-26,1.0
34770,1.0,-1.2641676e-25,1.0
34883,1.0,-4.138649e-26,1.0
34996,1.0,-4.278179e-26,1.0
35110,1.0,-4.126893e-26,1.0
35222,1.0,-4.2350947e-26,1.0
35332,1.0,-2.251772e-25,1.0
35439,1.0,-5.77148e-24,1.0
35546,1.0,-1.2427833e-26,1.0
35652,1.0,-1.4379837e-26,1.0
35758,1.0,-1.2840086e-26,1.0
35863,1.0,-1.3628416e-26,1.0
35967,1.0,-4.7807045e-26,1.0
36069,1.0,-1.4981558e-26,1.0
36170,1.0,-1.5674518e-26,1.0
36271,1.0,-1.9867303e-26,1.0
36371,1.0,-5.640054e-26,1.0
36471,1.0,-6.765265e-26,1.0
36571,1.0,-1.7052362e-24,1.0
36671,1.0,-6.061111e-25,1.0
36771,1.0,-5.8418983e-26,1.0
36872,1.0,-1.5116044e-25,1.0
36972,1.0,-1.1876695e-25,1.0
37073,1.0,-3.1819296e-26,1.0
37173,1.0,-8.3489895e-26,1.0
37273,1.0,-1.990836e-25,1.0
37374,1.0,-4.3461943e-26,1.0
37474,1.0,-2.5086674e-25,1.0
37572,1.0,-4.9986627e-26,1.0
37669,1.0,-6.225806e-26,1.0
37765,1.0,-2.9458028e-25,1.0
37858,1.0,-5.410513e-25,1.0
37949,1.0,-4.466367e-26,1.0
38037,1.0,-1.1689049e-25,1.0
38125,1.0,-2.2454419e-26,1.0
38214,1.0,-4.0151646e-26,1.0
38302,1.0,-1.1922087e-25,1.0
38391,1.0,-1.0314518e-25,1.0
38479,1.0,-1.3924566e-25,1.0
38566,1.0,-1.7016464e-25,1.0
38652,1.0,-1.9426049e-25,1.0
38736,1.0,-2.0693193e-26,1.0
38818,1.0,-4.1450998e-26,1.0
38901,1.0,-1.5965859e-26,1.0
38984,1.0,-3.265133e-26,1.0
39067,1.0,-1.4216154e-25,1.0
39149,1.0,-3.6839678e-26,1.0
39230,1.0,-2.8002353e-26,1.0
39312,1.0,-1.338332e-25,1.0
39394,1.0,-6.5455025e-26,1.0
39476,1.0,-3.4394292e-26,1.0
39558,1.0,-6.68755e-26,1.0
39640,1.0,-2.853857e-24,1.0
39722,1.0,-4.6420993e-24,1.0
39803,1.0,-1.2794419e-25,1.0
39884,1.0,-1.0690628e-25,1.0
39966,1.0,-1.7897732e-26,1.0
40045,1.0,-4.4288654e-26,1.0
40122,1.0,-7.9438657e-26,1.0
40198,1.0,-1.0642446e-25,1.0
40274,1.0,-1.4873156e-25,1.0
40350,1.0,-1.930101e-25,1.0
40426,1.0,-2.3247832e-25,1.0
40502,1.0,-2.7129885e-25,1.0
40578,1.0,-3.4001283e-25,1.0
40654,1.0,-8.1148075e-26,1.0
40730,1.0,-1.0281432e-25,1.0
40806,1.0,-1.4954849e-26,1.0
