timestamp,dMax,dMin,dsum
22951,0.97032,-3.9609382e-30,33692.93844773865
23099,0.9717314,-3.8226174e-30,32231.09323440239
23247,0.97057325,-3.655646e-30,30642.043455288014
23395,0.971701,-3.4626603e-30,29195.89017447721
23540,0.9705434,-3.25188e-30,27703.22157101426
23687,0.972822,-3.0259117e-30,26079.654575232653
23836,0.97119653,-2.790716e-30,24428.22020435296
23984,0.97264546,-2.5536569e-30,22853.84621513502
24130,0.9723051,-2.3165569e-30,21383.866878784254
24271,0.9722543,-2.0868318e-30,19857.942541862732
24413,0.9719237,-1.8658355e-30,18605.374786578264
24555,0.97193086,-1.6584446e-30,17605.555169188945
24696,0.9716591,-1.4661004e-30,16611.70042982567
24837,0.9718613,-1.2888761e-30,15725.861645530633
24980,0.971848,-1.1274079e-30,14969.679312383987
25124,0.97149163,-9.819072e-31,14204.505577693024
25263,0.971579,-8.526153e-31,13489.154496596395
25401,0.97120255,-7.3687316e-31,12819.343045599317
25539,0.97126514,-6.3457784e-31,12167.826034569169
25674,0.97134036,-5.4466023e-31,11592.686333790116
25805,0.97126836,-4.6653372e-31,11080.422442441972
25939,0.9704421,-3.9778555e-31,10546.788822086513
26075,0.9708178,-4.365174e-31,10137.549982054436
26214,0.96977466,-4.8338063e-31,9760.709889090405
26354,0.96948195,-5.3807864e-31,9428.904545866519
26491,0.9556403,-6.0166395e-31,9105.760775423372
26626,0.9206595,-8.0373655e-31,8855.962330437058
26757,0.92172176,-1.08465525e-30,8597.885767099142
26886,0.9214849,-1.3003527e-30,8324.01865711316
27014,0.9213902,-1.4167079e-30,8074.448501395294
27143,0.92070013,-1.5426185e-30,7831.639157407636
27274,0.9267559,-1.7225546e-30,7630.565839484546
27407,0.9298419,-1.9515375e-30,7421.062928978507
27542,0.9405719,-1.774027e-30,7161.1610850377965
27678,0.9446621,-2.0301946e-30,6963.010970028743
27814,0.9414324,-2.317373e-30,6882.544378748533
27948,0.93652195,-3.1023092e-31,6850.460733365974
28080,0.90009344,-2.9999184e-30,6808.378874318391
28209,0.8753104,-3.3913497e-30,6718.265863092788
28336,0.88046294,-3.8171078e-30,6565.743998942865
28462,0.8828899,-4.283429e-30,6364.700187115005
28590,0.88642645,-4.801494e-30,6141.734200928316
28718,0.8891309,-5.3706847e-30,5921.921910436293
28847,0.88944495,-5.998975e-30,5695.912248958553
28979,0.8899849,-6.70257e-30,5449.2257304284185
29110,0.8898104,-7.485066e-30,5140.384294883163
29239,0.8910834,-5.903626e-31,4742.372637280222
29367,0.8872622,-5.486562e-32,4364.735654865685
29493,0.88857555,-5.901501e-32,3969.373614231403
29617,0.88904744,-1.0160171e-31,3513.286017509495
29737,0.88603383,-5.675177e-32,3050.735420091481
29854,0.88985205,-5.8044924e-32,2639.2941833135983
29969,0.8988936,-5.9995657e-32,2246.216062044536
30082,0.90396273,-6.2814533e-32,1873.1945766121876
30196,0.89590937,-7.483716e-32,1505.1142462738587
30308,0.86243504,-1.339702e-31,1173.4533964157945
30420,0.8258983,-3.6911757e-31,910.7277846673519
30532,0.82839346,-2.9394278e-31,739.77657511353
30645,0.83713275,-3.8701917e-31,654.9358268155903
30756,0.83211243,-4.8135455e-31,575.5834650317784
30867,0.8375793,-5.788749e-31,505.23722601352455
30977,0.80353844,-8.503459e-31,418.905274999497
31087,0.8063374,-2.9741625e-30,351.2295495154234
31199,0.8068559,-1.5744697e-30,298.43961606260126
31311,0.8107562,-1.9097856e-30,256.07710850186834
31422,0.81579703,-2.2001997e-30,218.32291430455552
31532,0.81091005,-1.2957927e-30,169.27884137925227
31640,0.79601216,-1.6065299e-30,115.46648756789564
31746,0.78084785,-2.37853e-30,62.23694701613219
31852,0.7534347,-3.2011175e-30,27.278765011877493
31958,0.51335025,-4.0343553e-30,5.136951921512309
32061,0.29000598,-4.8393993e-30,0.9807369390670488
32134,2.3507653e-06,-2.1796414e-31,0.0963993016648124
32157,2.0250366e-06,-3.4905564e-31,0.09451448572984705
32180,2.020656e-06,-2.591444e-31,0.09278456528837553
32203,2.0140471e-06,-3.5032583e-31,0.09115198891374329
32227,1.9850534e-06,-4.426021e-31,0.08952173749635313
32250,1.9617733e-06,-5.247282e-31,0.08803543922134624
32273,1.934247e-06,-5.9844267e-31,0.08663256923337082
32297,1.9112977e-06,-6.6493615e-31,0.08525915107348475
32321,1.8995621e-06,-7.200219e-31,0.0839691768726994
32344,1.8702907e-06,-7.6191505e-31,0.08279641110929116
32368,1.8518855e-06,-7.944324e-31,0.08162231301758202
32392,1.84701e-06,-8.161009e-31,0.08048382068178567
32416,1.853262e-06,-4.740941e-31,0.0793688215490509
32440,1.8220564e-06,-6.038014e-31,0.07826771445915807
32463,1.8028169e-06,-7.3547987e-31,0.07721871993361862
32487,1.8053453e-06,-8.644454e-31,0.07612926053102324
32511,1.8026993e-06,-5.117338e-31,0.07504340035861107
32535,1.7717344e-06,-4.97549e-31,0.0739615298935448
32560,1.7527792e-06,-4.7785185e-31,0.07283900518263645
32584,1.750772e-06,-4.553044e-31,0.0717658319682475
32608,1.7353508e-06,-4.301844e-31,0.07069985363058562
32656,1.6797916e-06,-4.983069e-31,0.0685898673624192
32681,1.6624662e-06,-5.4541983e-31,0.06751112407129596
32705,1.6193391e-06,-5.938106e-31,0.0664907738596209
32729,1.5858973e-06,-6.456184e-31,0.06548508273373393
34810,4.488192e-07,-3.00791e-31,0.022553043533712527
34834,4.4408924e-07,-3.9215324e-31,0.02235648277597387
34883,4.440988e-07,-6.5987424e-31,0.021960767768781298
