timestamp,dMax,dMin,dsum
15353,1.0,-3.4763267e-29,4859944.819402915
15440,1.0,-6.917109e-28,4859943.864533905
15529,1.0,-8.745718e-27,4859942.881849715
15620,1.0,-6.792913e-28,4859941.804547513
15713,1.0,-3.9532023e-29,4859940.607017691
15809,1.0,-2.2478861e-27,4859939.245750614
15907,1.0,-1.982789e-31,4859937.742619371
16010,1.0,-2.49162e-31,4859936.118643168
16115,1.0,-3.0724773e-31,4859934.42688451
16222,1.0,-1.5923709e-28,4859932.689491473
16332,1.0,-6.104803e-31,4859930.973828423
16444,1.0,-2.947562e-29,4859929.331245744
16561,1.0,-3.6047604e-31,4859927.685231592
16678,1.0,-4.149342e-31,4859926.028206968
16798,1.0,-3.3268336e-28,4859924.347661838
16920,1.0,-4.5153893e-31,4859922.6256833635
17044,1.0,-3.789101e-30,4859920.868909623
17170,1.0,-3.425593e-29,4859919.065121884
17298,1.0,-1.8000099e-28,4859917.211047168
17427,1.0,-9.591163e-31,4859915.333102077
17558,1.0,-2.5202597e-31,4859913.462287675
17691,1.0,-2.0469414e-31,4859911.655540109
17825,1.0,-1.6419955e-31,4859909.935821623
17961,1.0,-5.5842525e-29,4859908.249038971
18098,1.0,-7.991632e-29,4859906.554394633
18236,1.0,-1.1349074e-28,4859904.784418378
18376,1.0,-1.9858898e-28,4859902.880349926
18518,1.0,-4.435285e-28,4859900.762313043
18661,1.0,-7.744661e-28,4859898.348285894
18805,1.0,-1.1359986e-27,4859895.749604982
18950,1.0,-1.5898273e-27,4859893.060247842
19095,1.0,-2.081317e-27,4859890.352343241
19243,1.0,-2.6530452e-27,4859887.615109201
19395,1.0,-3.3504876e-27,4859884.856759103
19550,1.0,-4.1615652e-27,4859882.0825026315
19707,1.0,-5.017117e-27,4859879.3011079095
19859,1.0,-5.8654235e-27,4859876.564400896
20009,1.0,-6.733506e-27,4859873.913913408
20159,1.0,-7.6461044e-27,4859871.351263162
20312,1.0,-8.549007e-27,4859868.897271684
20464,1.0,-9.424753e-27,4859866.475072553
20613,1.0,-1.0042812e-26,4859864.072029531
20766,1.0,-1.0561035e-26,4859861.639625235
20920,1.0,-1.09949445e-26,4859859.163209276
21069,1.0,-1.1240323e-26,4859856.687070896
21214,1.0,-1.1434118e-26,4859854.087626517
21357,1.0,-1.14553065e-26,4859851.423099158
21501,1.0,-1.13886724e-26,4859848.780228895
21644,1.0,-1.125733e-26,4859846.125784114
21788,1.0,-1.1045955e-26,4859843.470800509
21933,1.0,-1.0796464e-26,4859840.785996059
22079,1.0,-1.0529892e-26,4859838.114477214
22223,1.0,-1.0261393e-26,4859835.34416403
22366,1.0,-1.0004359e-26,4859832.440297221
22510,1.0,-9.778567e-27,4859829.318956259
22656,1.0,-9.583969e-27,4859826.018965592
22804,1.0,-9.41671e-27,4859822.592536064
22951,1.0,-9.2749165e-27,4859819.266620396
23099,1.0,-9.147412e-27,4859816.105694763
23247,1.0,-9.027335e-27,4859813.221732624
23395,1.0,-8.909245e-27,4859810.531443195
23540,1.0,-8.791715e-27,4859808.0051238695
23687,1.0,-8.673756e-27,4859805.53778811
23836,1.0,-8.558145e-27,4859803.125196649
23984,1.0,-8.4473914e-27,4859800.77142601
24130,1.0,-8.341886e-27,4859798.443112831
24271,1.0,-8.245223e-27,4859796.16792106
24413,1.0,-8.156932e-27,4859793.908416655
24555,1.0,-8.076757e-27,4859791.627850637
24696,1.0,-8.0027705e-27,4859789.2679977035
24837,1.0,-7.93258e-27,4859786.775672616
24980,1.0,-7.849707e-27,4859784.138083991
25124,1.0,-7.746227e-27,4859781.381684074
25263,1.0,-7.622828e-27,4859778.553496726
25401,1.0,-7.482098e-27,4859775.664415852
25539,1.0,-7.330034e-27,4859772.747267632
25674,1.0,-7.1686764e-27,4859769.822687663
25805,1.0,-7.001342e-27,4859766.919527568
25939,1.0,-6.826956e-27,4859763.971969664
26075,1.0,-6.648736e-27,4859761.011523034
26214,1.0,-6.454584e-27,4859757.997459449
26354,1.0,-6.2387585e-27,4859754.909932063
26491,1.0,-6.0036043e-27,4859751.805195598
26626,1.0,-5.7439894e-27,4859748.663810706
26757,1.0,-5.460772e-27,4859745.54384135
26886,1.0,-5.1579412e-27,4859742.496806992
27014,1.0,-4.8413804e-27,4859739.57076259
27143,1.0,-4.5120953e-27,4859736.717260922
27274,1.0,-4.1748056e-27,4859733.944359323
27407,1.0,-3.8306038e-27,4859731.126439059
27542,1.0,-3.48102e-27,4859728.197403911
27678,1.0,-3.1280005e-27,4859725.131753796
27814,1.0,-2.8674445e-27,4859721.919876423
