timestamp,dMax,dMin,dRange
40426,555264060.0,20748.885,555243300.0
40502,548898200.0,20782.844,548877400.0
40578,553308860.0,20820.365,553288060.0
40654,555596540.0,20862.158,555575700.0
40730,557423900.0,20901.27,557402940.0
40806,556035800.0,20934.982,556014850.0
40883,550763100.0,20970.41,550742100.0
40959,554262660.0,21037.473,554241600.0
41035,557398700.0,21130.38,557377600.0
41112,553341100.0,20412.818,553320700.0
41187,546985400.0,19547.54,546965900.0
41260,537627970.0,18606.678,537609340.0
41331,541683400.0,17887.91,541665540.0
41401,553115140.0,17963.734,553097150.0
41471,560835900.0,18815.098,560817100.0
41539,559790200.0,18847.713,559771400.0
41608,562792400.0,18528.615,562773800.0
41677,569364350.0,18231.332,569346100.0
41746,569238850.0,17941.482,569220900.0
41814,565556300.0,17691.355,565538600.0
41883,558791000.0,17449.172,558773500.0
41952,552646400.0,17256.979,552629100.0
42021,544302140.0,17118.936,544285060.0
42090,537737000.0,17042.695,537720000.0
42159,535316640.0,16992.385,535299650.0
42227,534228200.0,16974.906,534211230.0
42296,530461660.0,16948.363,530444700.0
42364,524569860.0,16917.803,524552930.0
42433,520212400.0,16913.719,520195500.0
42502,521948260.0,16856.277,521931400.0
42571,525059140.0,16841.193,525042300.0
42639,525905500.0,16741.732,525888770.0
42708,531578500.0,16667.78,531561820.0
42776,533301660.0,16649.559,533285020.0
42844,530037400.0,16603.113,530020800.0
42911,527290900.0,16568.71,527274340.0
42976,527512400.0,16521.434,527495870.0
43041,527016160.0,16476.621,526999680.0
43104,522644770.0,16448.693,522628320.0
43167,517973700.0,16409.664,517957280.0
43230,522884060.0,16401.25,522867650.0
43292,528384670.0,16051.594,528368600.0
43354,530814080.0,15833.992,530798240.0
43416,529628900.0,15682.911,529613220.0
43477,527287000.0,15509.872,527271500.0
43537,525260600.0,15320.061,525245280.0
43597,522039800.0,15162.056,522024640.0
43634,530680420.0,15054.55,530665380.0
43672,540273150.0,14935.205,540258240.0
43709,544722240.0,15057.318,544707200.0
43746,547914600.0,15800.909,547898800.0
43782,554215200.0,19839.893,554195300.0
43819,556273500.0,19533.85,556253950.0
43857,552993400.0,19273.006,552974140.0
43897,546597600.0,18708.533,546578940.0
43934,547776200.0,18139.99,547758100.0
43971,551885400.0,17674.336,551867700.0
44009,553443000.0,17326.197,553425660.0
44047,548591400.0,17052.492,548574400.0
44085,539587260.0,16845.0,539570400.0
44123,538238850.0,16696.111,538222140.0
44160,537280300.0,16680.02,537263600.0
44195,534202700.0,16634.223,534186050.0
44229,529084030.0,16592.672,529067420.0
44262,528554140.0,16569.658,528537570.0
44297,530506370.0,16474.078,530489900.0
44331,536522080.0,16362.036,536505730.0
44365,541879230.0,16275.549,541863000.0
44398,545792100.0,16185.975,545775940.0
44431,543190140.0,15930.694,543174200.0
44464,535543100.0,15910.508,535527200.0
44496,529717120.0,15603.819,529701500.0
44528,528929900.0,15401.594,528914500.0
44560,530483040.0,15272.62,530467780.0
44593,531135580.0,15119.321,531120480.0
44626,532524500.0,15044.087,532509470.0
44658,537145540.0,14979.627,537130560.0
44691,539216200.0,14801.707,539201400.0
44723,537785200.0,14688.015,537770500.0
44754,537654460.0,14521.285,537639940.0
44784,537889500.0,14348.217,537875140.0
44814,536749500.0,14268.615,536735230.0
44845,540181100.0,14166.01,540167000.0
44875,543665200.0,14050.597,543651140.0
44906,545932350.0,13952.655,545918400.0
44937,549381000.0,13872.979,549367100.0
44967,553263100.0,13816.457,553249300.0
44997,553298560.0,13760.974,553284800.0
45029,549846100.0,13672.314,549832400.0
45059,543844500.0,13684.135,543830800.0
45091,534380300.0,13736.128,534366560.0
45121,523114600.0,13806.252,523100800.0
45151,513484130.0,13597.324,513470530.0
45182,521403230.0,13381.784,521389860.0
45213,528119170.0,13176.806,528106000.0
45246,530367230.0,12987.751,530354240.0
45278,527275940.0,12808.892,527263140.0
45311,529333060.0,12638.301,529320420.0
45343,528914370.0,12480.811,528901900.0
45377,526147520.0,12323.407,526135200.0
45408,525877500.0,12168.71,525865340.0
45438,527553250.0,12015.808,527541250.0
45468,528836740.0,11871.315,528824860.0
45498,526861760.0,11727.016,526850050.0
45528,525845660.0,11586.207,525834080.0
45558,527366140.0,11454.162,527354700.0
45588,528433730.0,11326.98,528422400.0
45617,528358560.0,11202.993,528347360.0
45647,525666940.0,11081.836,525655870.0
45679,523553200.0,10967.08,523542240.0
45710,522743800.0,10863.135,522732960.0
45738,526806460.0,10761.007,526795700.0
45767,529008030.0,10659.8125,528997380.0
45793,530722200.0,10565.26,530711650.0
45821,531977280.0,10474.983,531966820.0
45852,533173060.0,10387.511,533162660.0
45880,533380500.0,10264.582,533370240.0
45908,529271800.0,10188.51,529261630.0
45935,531089760.0,10116.618,531079650.0
45963,532825860.0,10033.458,532815800.0
45991,532326050.0,9920.672,532316130.0
46023,525824300.0,9854.543,525814430.0
46054,520679360.0,9789.285,520669570.0
46084,520589950.0,9704.109,520580260.0
46112,520190080.0,9647.389,520180450.0
46142,524134600.0,9591.4,524125000.0
46201,520814400.0,9464.912,520804930.0
46231,515746500.0,9386.46,515737120.0
46261,514049150.0,9322.343,514039840.0
46289,519448400.0,9250.106,519439140.0
46322,524157630.0,9178.385,524148450.0
46349,529803700.0,9116.594,529794600.0
46376,535500030.0,9027.309,535491000.0
46401,536343650.0,8957.024,536334700.0
46428,536485300.0,8909.679,536476400.0
46454,537522370.0,9137.243,537513200.0
46482,538408400.0,12676.837,538395700.0
46509,538547200.0,13382.346,538533800.0
46540,537196350.0,13613.219,537182700.0
46566,538103500.0,13785.509,538089700.0
46592,543481900.0,14036.494,543467900.0
46619,546478200.0,14279.152,546463940.0
46646,546804500.0,14378.599,546790100.0
46674,544028300.0,14615.536,544013700.0
46705,544349250.0,14816.982,544334400.0
46735,543024700.0,15230.797,543009500.0
46761,543383500.0,15387.266,543368100.0
46790,543455500.0,15274.453,543440200.0
46824,540115260.0,15863.228,540099400.0
46851,533715140.0,15613.519,533699520.0
46877,525658270.0,15811.516,525642460.0
46904,517451360.0,16062.199,517435300.0
46929,513588320.0,16301.498,513572030.0
46956,509148580.0,16819.957,509131740.0
46984,507057250.0,19427.838,507037820.0
47010,505454240.0,19220.752,505435000.0
47035,506308500.0,18793.12,506289730.0
47062,506702430.0,18465.438,506683970.0
47087,508420350.0,18280.336,508402080.0
47113,511966900.0,18078.455,511948830.0
47139,516600500.0,17928.533,516582600.0
47165,519848700.0,17858.875,519830850.0
47190,521526850.0,17827.219,521509020.0
47215,522511070.0,17784.73,522493280.0
47240,523309200.0,17786.414,523291400.0
47267,523671800.0,17764.787,523654050.0
47298,524717660.0,17629.809,524700030.0
47325,523808860.0,17475.69,523791400.0
47357,520909340.0,17308.613,520892030.0
47384,516606430.0,17136.158,516589280.0
47411,512070100.0,16961.637,512053150.0
47438,507374400.0,16774.828,507357630.0
47463,506353400.0,16585.02,506336830.0
47495,507370430.0,16397.594,507354050.0
47523,507383330.0,16206.212,507367140.0
47549,510824030.0,16020.178,510808000.0
47575,514053280.0,15837.495,514037440.0
47602,517216960.0,15652.289,517201300.0
47631,520230980.0,15480.426,520215500.0
47656,522936320.0,15322.809,522921000.0
47684,525526000.0,15163.836,525510850.0
47709,527231420.0,15023.448,527216420.0
47736,526613250.0,14894.276,526598370.0
47764,522783780.0,14777.937,522769000.0
47796,522540770.0,14676.011,522526080.0
47822,523575200.0,14582.621,523560600.0
47851,520718240.0,14510.671,520703740.0
47879,522160100.0,14467.728,522145630.0
47905,524741730.0,14451.334,524727260.0
47932,522462140.0,14285.788,522447870.0
47959,520442600.0,14355.3955,520428220.0
47986,520087420.0,14260.999,520073150.0
48013,519855500.0,14371.319,519841120.0
48039,519074270.0,14586.102,519059680.0
48067,517491000.0,14945.259,517476060.0
48095,519499970.0,15348.045,519484600.0
48120,521757150.0,15573.866,521741570.0
